IP Address,marketplace,customer_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,timestamp
195.168.193.155,US,7200252,B00UT9YT8G,620353928,2015 NEW E27 3W Playbulb Wireless Bluetooth 4.0 Smart LED Light Bulb Music Speaker Lamp Audio Speaker For iPhone 6/6plus/5S/5C/5 iPad air HTC SONY LG Samsung,Mobile_Electronics,3,3.0,3.0,N,Y,"NICE LITTLE GADGET, GOOD PRICE!","i like this little lightbulb. also, it arrived very quickly. the app works fine on my samsung galaxy s4 phone. the sound is loud and clear, it can even substitute for your tv speakers (streaming w/ bluetooth). i would have given this an extra star except the light is not very bright at all. it cannot fully light a normal-sized room, and perhaps many people won't mind a dimmer room. but i do not recommend using this as a primary lighting source.<br /><br />to sum it all up, this is a nice little functioning device that's a good buy for its price.",2015-08-11,1439236027.0
217.170.210.158,US,898015,B00FKGNOR0,821210038,"SPX-65C - Skar Audio 6.5"" 200W RMS 2-Way Component Speakers System",Mobile_Electronics,1,1.0,9.0,N,Y,One Star,both sets i ordered were damaged..not the packaging but the speakers...enough said!!,2015-08-11,1439238194.0
211.135.179.13,US,29306716,B00OULBLQC,71927540,"[Waterproof & Shockproof & Dustproof] 2015 New BESTOPE® Bluetooth 3.0 Outdoor Mini Wireless Waterproof Bluetooth Speaker, Handsfree Portable Blutooth Speakerphone with Built-in Mic, Control Buttons and Dedicated Removable Suction Cup for Showers, Bathroom, Pool, Boat, Car, Beach, & Outdoor Use Compatible with Apple Iphone 6,6 Plus, 5s, 5, Galaxy S5, S4 S3, HTC One, Galaxy Note 2,3 and Mp3 Player",Mobile_Electronics,1,1.0,1.0,N,Y,"Not even splash resistant much less ""Water Proof""","the battery change only lasted 3 hours.  but, i guess that is a good thing.  because about 2 hours and 45 minutes in, the speaker got splashed.(not submerged mind you) and it began to act as if all the buttons were being held down.  and it never has worked again.  definitely wouldn't suggest taking this in the shower.<br /><br />i will say, for the few hours that it worked, it had good sound and volume.  but i could do without the &#34;power on&#34; and &#34;power off&#34; announcements (especially at full volume)",2015-08-11,1439238261.0
215.246.161.65,US,13051014,B0117USUGC,253973592,EMY Wireless FM Transmitter with 3.5mm Audio Jack Hands Free Calling and USB Charging Port for Smart Phone and MP3 MP4,Mobile_Electronics,5,0.0,0.0,N,N,Easy to use!,emy wireless fm transmitter with 3.5mm audio jack hands free calling and usb charging port for smart phone and mp3 mp4<br />the emy fm transmitter was easy to use.  i love that it has a usb charging port so i can charge my phone and transmit at the same time. i also like that the cord isn't super short like a few i have got and tried to use.  i purchased at a discount for my honest unbiased review per the ftc.,2015-08-11,1439238909.0
222.71.45.145,US,18671140,B00XCLIZH4,35712435,"4) NEW Polk Audio DB651 6.5"" 180 Watt 2-Way Car Marine Speakers + 4 Channel Amp",Mobile_Electronics,5,0.0,0.0,N,Y,speakers are awesome. have not used the amp yet,speakers are awesome.have not used the amp yet though,2015-08-11,1439246015.0
214.165.208.220,US,19416778,B00XVOW366,265165688,Powermall 7.4v BL-5 AA Extended Li-ion replacement Battery Case for Baofeng BF-UV5R/5RB/5RC/5RD/5RO/5RE/5REPL Two-way Radio,Mobile_Electronics,4,0.0,0.0,N,Y,Four Stars,works fime,2015-08-11,1439251293.0
222.115.103.27,US,49826906,B004ECO5VA,479073842,Holux Mini Smart Mouse Type GPS Receiver GR-213U by Koolertron,Mobile_Electronics,5,0.0,0.0,N,N,Excellent and reliable GPS.,"i have been using this holux gr-213u usb gps receiver for the past two years.<br /><br />i have found it to be of excellent production quality (made in taiwan), truly durable and waterproof as stated and has a convenient and strong magnet embedded in the base that allows it to adhere most any iron or steel surface.<br /><br />from a technical point of view, it contains the bullet-proof sirf-star iii chipset specifically designed for receiving the us constellation of gps satellite signals. this is one of the best chipsets in the business -- no russian glonass or chinese gps support in this chipset. later models are based on a different chipset that supports both us and russian satellites. however this unit works great!<br /><br />driver software supplied emulates a serial port allowing compatibility with a huge range of gps software.<br /><br />it also supports the industry standard nmea (national marine electronics association) command set for programming and additional functions can be invoked including the zda (1 pulse per second time signal). this also makes it useful for many purposes including serving as an accurate time source for many applications requiring time sync including amateur radio jt65 and wspr use.<br /><br />the package comes attractively boxed with all software on a mini cd rom and adequate instructions plus some velcro and a suction cap to anchor down the lead in your application. i found that the driver was compatible with many 3rd party gps programs supporting the nmea protocol.<br /><br />led flashes when sync is achieved, usually about 10 seconds after connecting to the computer.<br /><br />it does everything that i expect from a usb powered gps unit.",2015-08-11,1439256045.0
203.33.201.114,US,43814621,B00G5R60NS,795468809,"Hybrid Cover Case for Apple Ipod Touch Itouch 4g 4 Black and Silver Zebra Bling Pattern Hard Plastic Snap on Over Pink Silicone Gel (Included: Wristband, Earpiece Winder and Screen Protector Exclusively From Wirelessfones TM)",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,my daughter loved it!,2015-08-11,1439258633.0
202.167.30.36,US,19642382,B00J46XO9U,744008282,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](Black and White)",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,cables work just like oem and delivery was quick.,2015-08-11,1439259905.0
214.33.7.24,US,30744438,B00G6CJS1S,301985403,HDD Mitchell on Demand Alldata 10.52 Auto Repair Software with 750G,Mobile_Electronics,5,0.0,0.0,N,N,Five Stars,great item no time limit on amount of car or trucks looked up,2015-08-11,1439261335.0
207.187.251.7,US,808565,B00L52HGR2,135186,"VEO | USB Dancing Water Speakers - Desktop Speakers for PC, Mac, MP3 Players, Mobile Phones inc. iPhone & Tablets, iPad 4, iPad Air, iPad 5, iPhone 6, iPhone 5s, iPhone 5c - BLACK",Mobile_Electronics,4,0.0,0.0,N,Y,Nice design and effective sound easy to assemble speakers. You need small space to place them,"these speakers are fun to own and will do the job for your android or i phone. just make sure you connect the speakers to ysb power source ( like samsung charger will do ☺) and the output cable to your music source and will have a dancing fountain. the beat has to be high so dont expect it to work with easy music. i found it fun when the room is dark and you want to listen chillout music.<br />it has its limitation in terms of output but this is a pc speakers or snart phones speakers. i love them. kids enjoy looking at them, by the way the water level is low when you buy it and it is meant to be like this. to test its functionality hook up the usb power source the put you finger on the metal part of music cable to see water jump around",2015-08-11,1439262119.0
198.135.155.144,US,2168699,B0017LEUAC,104679904,Walkie Talkies 14 Channel Family Radio System,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,awesome!!!<br /><br />awesome!! 😉😉😉,2015-08-11,1439267550.0
